stimnum,stim,stimtype_orig,stimtype,stimtype_1b,stimrf,stimrf_1b,stimrf_pred,stimpo,stimtc,stimtc_1b,freq,syllables,bothstudies
1,grow,prom,promgen,promgen,prom,prom,prom,outcome,gen,gen,43539,1,na
2,achieve,prom,promgen,promgen,prom,prom,prom,outcome,gen,gen,23903,2,na
3,gain,prom,promgen,promgen,prom,prom,prom,outcome,gen,gen,27192,1,na
4,secure,prev,prevgen,prevgen,prev,prev,prev,outcome,gen,gen,19232,2,na
5,evade,prev,prevgen,prevgen,prev,prev,prev,outcome,gen,gen,1225,2,na
6,prevent,prev,prevgen,prevgen,prev,prev,prev,outcome,gen,gen,34026,2,na
7,control,loc,cgen,cgen,gen,gen,prom,process,control,control,145154,2,yes
8,manage,loc,cgen,cgen,gen,gen,prom,process,control,control,18616,2,yes
9,do,loc,cgen,na,gen,na,prom,process,control,na,1867474,1,yes
10,go,loc,cgen,na,gen,na,prom,process,control,na,529413,1,yes
11,act,loc,cgen,na,gen,na,prom,process,control,na,94148,1,yes
12,exert,loc,cgen,na,gen,na,prom,process,control,na,2352,2,yes
13,move,loc,cgen,na,gen,na,prom,process,control,na,118834,1,yes
14,operate,loc,cgen,cgen,gen,gen,prom,process,control,control,14749,3,yes
15,defend,loc,prevcontrol,prevcontrol,prev,prev,prev,process,control,control,15370,2,yes
16,guard,loc,prevcontrol,prevcontrol,prev,prev,prev,process,control,control,36702,1,yes
17,protect,loc,prevcontrol,prevcontrol,prev,prev,prev,process,control,control,45116,2,yes
18,resist,loc,prevcontrol,prevcontrol,prev,prev,prev,process,control,control,10122,2,yes
19,conserve,loc,prevcontrol,na,prev,na,prev,process,control,na,1794,2,yes
20,preserve,loc,prevcontrol,prevcontrol,prev,prev,prev,process,control,control,12644,2,yes
21,withstand,loc,prevcontrol,na,prev,na,prev,process,control,na,2971,2,yes
22,restrain,loc,prevcontrol,na,prev,na,prev,process,control,na,1614,2,no
23,maintain,loc,prevcontrol,prevcontrol,prev,prev,prev,process,control,control,28646,2,no
24,progress,loc,promcontrol,promcontrol,prom,prom,prom,process,control,control,38126,2,yes
25,advance,loc,promcontrol,na,prom,na,prom,process,control,na,22352,2,yes
26,accelerate,loc,promcontrol,promcontrol,prom,prom,prom,process,control,control,2949,4,yes
27,lead,loc,promcontrol,promcontrol,prom,prom,prom,process,control,control,83252,1,yes
28,propel,loc,promcontrol,promcontrol,prom,prom,prom,process,control,control,1388,2,yes
29,improve,loc,promcontrol,na,prom,na,prom,process,control,na,36348,1,yes
30,elevate,loc,promcontrol,promcontrol,prom,prom,prom,process,control,control,1598,3,yes
31,launch,loc,promcontrol,promcontrol,prom,prom,prom,process,control,control,16515,1,yes
32,investigate,ass,tgen,tgen,gen,gen,prev,process,truth,truth,12174,4,yes
33,evaluate,ass,tgen,na,gen,na,prev,process,truth,na,11003,4,yes
34,examine,ass,tgen,prevtruth,gen,prev,prev,process,truth,truth,19024,3,yes
35,analyze,ass,tgen,na,gen,na,prev,process,truth,na,8308,3,yes
36,ponder,ass,tgen,na,gen,na,prev,process,truth,na,1939,2,yes
37,compare,ass,tgen,na,gen,na,prev,process,truth,na,14339,2,yes
38,assess,ass,tgen,prevtruth,gen,prev,prev,process,truth,truth,14514,2,no
39,review,ass,tgen,prevtruth,gen,prev,prev,process,truth,truth,51511,2,no
40,consider,ass,tgen,tgen,gen,gen,prev,process,truth,truth,59785,3,no
41,critique,ass,prevtruth,na,prev,na,prev,process,truth,na,6242,2,yes
42,scrutinize,ass,prevtruth,prevtruth,prev,prev,prev,process,truth,truth,870,3,yes
43,verify,ass,prevtruth,prevtruth,prev,prev,prev,process,truth,truth,3396,3,yes
44,inspect,ass,prevtruth,na,prev,na,prev,process,truth,na,2661,2,yes
45,check,ass,prevtruth,na,prev,na,prev,process,truth,na,56442,1,no
46,solve,ass,prevtruth,na,prev,na,prev,process,truth,na,16477,1,no
47,judge,ass,prevtruth,prevtruth,prev,prev,prev,process,truth,truth,59956,1,no
48,ensure,ass,prevtruth,na,prev,na,prev,process,truth,na,24669,2,yes
49,resolve,ass,prevtruth,na,prev,na,prev,process,truth,na,11502,2,no
50,imagine,ass,promtruth,promtruth,prom,prom,prom,process,truth,truth,44255,3,yes
51,discover,ass,promtruth,promtruth,prom,prom,prom,process,truth,truth,14202,3,yes
52,explore,ass,promtruth,promtruth,prom,prom,prom,process,truth,truth,18044,2,yes
53,seek,ass,promtruth,promtruth,prom,prom,prom,process,truth,truth,26157,1,yes
54,invent,ass,promtruth,promtruth,prom,prom,prom,process,truth,truth,2482,2,yes
55,learn,ass,promtruth,na,prom,na,prom,process,truth,na,75322,1,yes
56,inquire,ass,promtruth,tgen,prom,gen,prom,process,truth,truth,1533,2,no
57,wonder,ass,promtruth,promtruth,prom,prom,prom,process,truth,truth,40220,2,no
